Verification type,Type,SubType,Lane configuration,Width,Support,Positioning of internal forces influence line,Action effect,Span,"?Q1,global","?Q2,global","?q,global Class+","?q,global Class","?Q1,local","?Q2,local"
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,30,0.55,0.35,0.342671421,0.283279474,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,40,0.55,0.35,0.310960213,0.26947498,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,50,0.55,0.35,0.27985506,0.248894041,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,60,0.55,0.35,0.255492421,0.231206704,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,70,0.55,0.35,0.235957585,0.178601827,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mp,80,0.55,0.35,0.220988264,0.171831776,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,20,0.55,0.35,0.234728157,0.242348195,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,30,0.55,0.35,0.228079333,0.205144269,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,40,0.55,0.35,0.212971504,0.200475596,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,50,0.55,0.35,0.197325497,0.189598317,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,60,0.55,0.35,0.184977516,0.180461268,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,70,0.55,0.35,0.175164259,0.171980752,0.55,0.4
Longitudinal,Box,Composite,Bi4L,18,Simp,p0,Mn,80,0.55,0.35,0.167184639,0.165030387,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,20,0.55,0.35,0.465104118,0.239465295,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,30,0.55,0.35,0.400943381,0.220978897,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,40,0.55,0.35,0.335643108,0.200127757,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,50,0.55,0.35,0.288321832,0.187949007,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,60,0.55,0.35,0.27516021,0.178206457,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,70,0.55,0.35,0.269694473,0.171744112,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,V,80,0.55,0.35,0.242684751,0.169444693,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,20,0.55,0.35,0.415110539,0.207692391,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,30,0.55,0.35,0.373974855,0.199307219,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,40,0.55,0.35,0.319968312,0.173070832,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,50,0.55,0.35,0.275617118,0.154313284,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,60,0.55,0.35,0.245536975,0.142568132,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,70,0.55,0.35,0.221596461,0.135302163,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mp,80,0.55,0.35,0.201514199,0.13140086,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,20,0.55,0.35,0.310751,0.200706387,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,30,0.55,0.35,0.317742361,0.194122822,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,40,0.55,0.35,0.25275722,0.178010087,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,50,0.55,0.35,0.213227859,0.164096569,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,60,0.55,0.35,0.224686162,0.158293866,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,70,0.55,0.35,0.204376862,0.159342163,0.55,0.4
Longitudinal,Twin,Composite,Uni2L,9,Simp,p0,Mn,80,0.55,0.35,0.192105104,0.144046305,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,V,20,0.55,0.35,0.183938621,-0.113340782,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,V,30,0.55,0.35,0.22558177,0.026368939,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,V,40,0.55,0.35,0.206626484,0.048382199,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,V,50,0.55,0.35,0.18293919,0.054727118,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,V,60,0.55,0.35,0.162470294,0.061383048,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,V,70,0.55,0.35,0.147205,0.072635196,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,V,80,0.55,0.35,0.136051951,0.070109872,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mp,20,0.55,0.35,0.125503524,-0.15832527,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mp,30,0.55,0.35,0.188589396,-0.040509541,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mp,40,0.55,0.35,0.183376339,0.044008569,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mp,50,0.55,0.35,0.168077756,0.050717158,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mp,60,0.55,0.35,0.152546033,0.053523679,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mp,70,0.55,0.35,0.138755298,0.054977287,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mp,80,0.55,0.35,0.140664318,0.057511291,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mn,20,0.55,0.35,0.155751505,0.016843871,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mn,30,0.55,0.35,0.166500879,0.071225093,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mn,40,0.55,0.35,0.14776333,0.093883558,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mn,50,0.55,0.35,0.135608295,0.091084006,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mn,60,0.55,0.35,0.125429963,0.088375957,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mn,70,0.55,0.35,0.119277675,0.093018816,0.55,0.4
Longitudinal,Twin,Composite,Bi2L,9,Simp,p0,Mn,80,0.55,0.35,0.114010187,0.108967403,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,V,20,0.55,0.35,0.48799199,0.178218634,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,V,30,0.55,0.35,0.423006067,0.229850889,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,V,40,0.55,0.35,0.356380743,0.178148022,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,V,50,0.55,0.35,0.30577443,0.175310595,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,V,60,0.55,0.35,0.267942831,0.171927166,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,V,70,0.55,0.35,0.239803517,0.170316909,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,V,80,0.55,0.35,0.218666065,0.168728768,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mp,20,0.55,0.35,0.346761174,0.145101299,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mp,30,0.55,0.35,0.406901411,0.158035263,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mp,40,0.55,0.35,0.344507214,0.147393872,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mp,50,0.55,0.35,0.295173898,0.13810211,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mp,60,0.55,0.35,0.25755897,0.133556433,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mp,70,0.55,0.35,0.22865583,0.131513915,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mp,80,0.55,0.35,0.206112328,0.131228819,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mn,20,0.55,0.35,0.2864307,0.168708341,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mn,30,0.55,0.35,0.280227484,0.185770024,0.55,0.4
Longitudinal,Twin,Concrete,Uni2L,9,Simp,p0,Mn,40,0.55,0.35,0.278071787,0.181285157,0.55,0.4
